nom;porteur;categorie;type;arrondissement_implantation;arrondissements_couverts;niveaux;domaines;adresse;telephone;non_localise;specificite_marseillaise;note;source
CMP Saint-Marcel;CH Valvert;Sanitaire;lieu;11;11;2;Suivi clinique et médication;;04 91 35 74 92;;;Secteur 13G07.;Kit DAC 13 Sud, 07/05/2026
CMP Saint-Barnabé;CH Valvert;Sanitaire;lieu;12;12;2;Suivi clinique et médication;;04 91 93 95 30;;;Secteur 13G08.;Kit DAC 13 Sud, 07/05/2026
CMP Secteur 13;CH Édouard Toulouse;Sanitaire;lieu;13;13;2;Suivi clinique et médication;;04 91 70 90 72;;;Secteur 13G13.;Kit DAC 13 Sud, 07/05/2026
CMP Marine Blanche;CH Édouard Toulouse;Sanitaire;lieu;14;14;2;Suivi clinique et médication;;04 91 11 64 70;;;Secteur 13G14.;Kit DAC 13 Sud, 07/05/2026
CMP La Viste;CH Édouard Toulouse;Sanitaire;lieu;15;15;2;Suivi clinique et médication;;04 91 60 44 43;;;Secteur 13G15.;Kit DAC 13 Sud, 07/05/2026
CMP Le Parc;CH Édouard Toulouse;Sanitaire;lieu;;"15;16";2;Suivi clinique et médication;;04 91 03 09 95;;;Secteur 13G16. Implantation à préciser.;Kit DAC 13 Sud, 07/05/2026
HDJ Gasquy;CH Valvert;Sanitaire;lieu;12;12;2;"Suivi clinique et médication;Projet de vie et rétablissement";2 boulevard Gasquy, 13012;04 91 85 00 12;;;;Kit DAC 13 Sud, 07/05/2026
HDJ L'Escale;CH Valvert;Sanitaire;lieu;11;11;2;"Suivi clinique et médication;Projet de vie et rétablissement";78 boulevard des Libérateurs, 13011;04 91 87 67 55;;;;Kit DAC 13 Sud, 07/05/2026
HDJ Pressensé;CH Édouard Toulouse;Sanitaire;lieu;15;15;2;"Suivi clinique et médication;Projet de vie et rétablissement";118 chemin de Mimet, 13015;04 91 90 05 75;;;;Kit DAC 13 Sud, 07/05/2026
HDJ Camille Claudel;CH Édouard Toulouse;Sanitaire;lieu;15;15;2;"Suivi clinique et médication;Projet de vie et rétablissement";23 impasse Magne, 13015;04 91 09 70 22;;;;Kit DAC 13 Sud, 07/05/2026
HDJ Les Colombes;CH Édouard Toulouse;Sanitaire;lieu;13;13;2;"Suivi clinique et médication;Projet de vie et rétablissement";48 avenue de la Croix Rouge, 13013;04 91 06 36 06;;;;Kit DAC 13 Sud, 07/05/2026
HDJ Henri Collomb;CH Édouard Toulouse;Sanitaire;lieu;15;15;2;"Suivi clinique et médication;Projet de vie et rétablissement";161 avenue de la Viste, 13015;04 91 65 06 06;;;;Kit DAC 13 Sud, 07/05/2026
HDJ Balthazar Blanc;CH Édouard Toulouse;Sanitaire;lieu;15;15;2;"Suivi clinique et médication;Projet de vie et rétablissement";43 avenue de la Viste, 13015;04 91 03 12 82;;;;Kit DAC 13 Sud, 07/05/2026
CAP 48 — urgences psychiatriques;AP-HM La Timone;Sanitaire;lieu;5;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;Gestion de crise et sécurité;264 rue Saint-Pierre, 13005;04 13 42 93 00;;;;Kit DAC 13 Sud, 07/05/2026
CAP 72 — urgences psychiatriques;AP-HM Hôpital Nord / CH Édouard Toulouse;Sanitaire;lieu;15;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;Gestion de crise et sécurité;chemin des Bourrely, 13015;04 91 96 49 56;;;;Kit DAC 13 Sud, 07/05/2026
CACC — Centre d'Accueil et de Consultation de Crise;CH Valvert;Sanitaire;lieu;11;"11;12";4;Gestion de crise et sécurité;78 boulevard des Libérateurs, 13011;04 91 87 67 67;;;;Kit DAC 13 Sud, 07/05/2026
ULICE — unité locale d'intervention de crise;AP-HM;Sanitaire;mobile;;"8;9;10";4;Gestion de crise et sécurité;;06 89 85 34 83;;;Modèle Open Dialogue, intervention à domicile. Évolutions annoncées, périmètre à préciser.;Kit DAC 13 Sud, 07/05/2026
EMSI Centre-Ville;CH Édouard Toulouse;Sanitaire;mobile;;"1;2;3";4;Gestion de crise et sécurité;;04 91 90 06 04;;;;Kit DAC 13 Sud, 07/05/2026
EMSI Les Vallons;CH Édouard Toulouse;Sanitaire;mobile;;"13;14";4;Gestion de crise et sécurité;;04 91 90 06 05;;;;Kit DAC 13 Sud, 07/05/2026
EMSI Littoral Nord;CH Édouard Toulouse;Sanitaire;mobile;;"15;16";4;Gestion de crise et sécurité;;04 91 96 97 13;;;;Kit DAC 13 Sud, 07/05/2026
Lieu de Répit;Association JUST;Social et inclusion;lieu;1;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Gestion de crise et sécurité;Projet de vie et rétablissement";85 rue Jean de Bernardy, 13001;;;oui;Alternative non médicalisée à l'hospitalisation. Séjours d'un mois renouvelables deux fois, trois mois maximum. Projet expérimental.;Kit DAC 13 Sud, 07/05/2026
MARSS — équipe mobile psychiatrie précarité;AP-HM;Médico-social;mobile;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";3;"Gestion de crise et sécurité;Réseau social et entourage;Abus de substances";;06 16 19 33 42;;;Adultes sans abri avec troubles psychiatriques sévères, très éloignés des soins.;Kit DAC 13 Sud, 07/05/2026
EMPP;CH Édouard Toulouse;Médico-social;mobile;;"1;2;3;13;14;15;16";2;"Réseau social et entourage;Suivi clinique et médication";;04 91 96 96 53;;;;Kit DAC 13 Sud, 07/05/2026
EMPP;CH Valvert;Médico-social;mobile;;"11;12";2;"Réseau social et entourage;Suivi clinique et médication";;04 91 35 66 38;;;;Kit DAC 13 Sud, 07/05/2026
EDI — équipe Diogène et incurie;CMSMH;Médico-social;mobile;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";3;"Logement et vie quotidienne;Projet de vie et rétablissement";;07 64 43 44 37;;;;Kit DAC 13 Sud, 07/05/2026
ESAMH — équipe santé mentale et habitat;CMSMH;Médico-social;mobile;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";3;"Logement et vie quotidienne;Activités et insertion";;;;;;SIIS Cartographie de l'offre, 11/05/2026
LEAF — désinstitutionnalisation par les loisirs;AP-HM Sainte-Marguerite;Social et inclusion;lieu;9;"8;9;10";1;"Activités et insertion;Réseau social et entourage";bâtiment Solaris, 270 boulevard Sainte-Marguerite, 13009;04 91 74 67 01;;;;Kit DAC 13 Sud, 07/05/2026
CLIP — centre local d'intervention précoce;AP-HM;Sanitaire;lieu;6;"1;2;3;4;5;6;7;8;9;10;13;14;15;16";2;"Suivi clinique et médication;Projet de vie et rétablissement";9 rue Lafon, 13006;04 91 43 59 09;;;16 à 30 ans, après un épisode psychotique.;Kit DAC 13 Sud, 07/05/2026
Réhab Marseille;AP-HM;Sanitaire;lieu;8;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;"Projet de vie et rétablissement;Suivi clinique et médication";44-52 boulevard Michelet, 13008;04 91 22 04 00;;;;Kit DAC 13 Sud, 07/05/2026
URCE;CH Édouard Toulouse;Sanitaire;lieu;15;"1;2;3;13;14;15;16";2;"Projet de vie et rétablissement;Activités et insertion";118 chemin de Mimet, 13015;04 91 96 98 06;;;;Kit DAC 13 Sud, 07/05/2026
Réhab';CH Valvert;Sanitaire;lieu;11;"11;12";2;Projet de vie et rétablissement;78 boulevard des Libérateurs, 13011;04 91 87 68 21;;;;Kit DAC 13 Sud, 07/05/2026
Clinique Mon Repos;emeis;Sanitaire;lieu;8;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Suivi clinique et médication;Gestion de crise et sécurité";67 boulevard Léau, 13008;04 91 22 90 03;;;;Kit DAC 13 Sud, 07/05/2026
Clinique L'Émeraude;emeis;Sanitaire;lieu;9;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Suivi clinique et médication;Gestion de crise et sécurité";34 traverse de la Seigneurie, 13009;04 91 40 92 17;;;;Kit DAC 13 Sud, 07/05/2026
Clinique Les 4 Saisons;Ramsay Santé;Sanitaire;lieu;11;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Suivi clinique et médication;Gestion de crise et sécurité";165 route des Camoins, 13011;04 91 43 00 94;;;;Kit DAC 13 Sud, 07/05/2026
Clinique Saint-Roch Montfleury;Privé;Sanitaire;lieu;11;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Suivi clinique et médication;Gestion de crise et sécurité";160 route des Camoins, 13011;04 91 43 01 20;;;;Kit DAC 13 Sud, 07/05/2026
Clinique des Trois Lucs;emeis;Sanitaire;lieu;12;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Suivi clinique et médication;Gestion de crise et sécurité";28 traverse de la Salette, 13012;04 91 93 01 20;;;;Kit DAC 13 Sud, 07/05/2026
Clinique Saint-Barnabé;Ramsay Santé;Sanitaire;lieu;14;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;"Suivi clinique et médication;Abus de substances";72 cours de Fontainieu, 13014;04 96 15 87 29;;;;Kit DAC 13 Sud, 07/05/2026
Clinique Sainte-Marthe Saint-Joseph;Privé;Sanitaire;lieu;14;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";4;Suivi clinique et médication;9 traverse du Canet, 13014;04 91 98 10 27;;;Femmes uniquement.;Kit DAC 13 Sud, 07/05/2026
Nova Mentis;Privé;Sanitaire;lieu;9;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Suivi clinique et médication;14 boulevard Gustave Ganay, 13009;;;;;Kit DAC 13 Sud, 07/05/2026
Centre Medipsy;Ramsay Santé;Sanitaire;lieu;10;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Suivi clinique et médication;41 avenue Comtesse Lily Pastré, 13010;04 13 59 52 64;;;;Kit DAC 13 Sud, 07/05/2026
GEM LEO — Lieu d'Échange et d'Ouverture;Association SARA;Entraide et pair-aidance;lieu;3;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Réseau social et entourage;Activités et insertion";20 rue Despieds, 13003;04 91 64 16 03;;oui;;Kit DAC 13 Sud, 07/05/2026
GEM Les Sentinelles Égalité;Sentinelles Égalité;Entraide et pair-aidance;lieu;6;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Réseau social et entourage;Activités et insertion";2 rue Friedland, 13006;04 86 12 68 87;;oui;;Kit DAC 13 Sud, 07/05/2026
GEM Club Parenthèse;Espoir Provence;Entraide et pair-aidance;lieu;5;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Réseau social et entourage;Activités et insertion";28 rue Bérard, 13005;06 79 96 34 24;;oui;;Kit DAC 13 Sud, 07/05/2026
GEMarseille;GEMarseille;Entraide et pair-aidance;lieu;12;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Réseau social et entourage;Activités et insertion";10 square Paul Arène, 13012;06 26 49 93 12;;oui;;Kit DAC 13 Sud, 07/05/2026
ClubHouse Marseille;ClubHouse France;Entraide et pair-aidance;lieu;4;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Activités et insertion;Projet de vie et rétablissement;Réseau social et entourage";12 rue de Provence, 13004;04 91 85 84 26;;oui;;Kit DAC 13 Sud, 07/05/2026
ESPER Pro — pair-aidance;ESPER Pro;Entraide et pair-aidance;lieu;4;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Projet de vie et rétablissement;Réseau social et entourage";;;;oui;Permanence au ClubHouse Marseille.;Kit DAC 13 Sud, 07/05/2026
CoFoR — centre de formation au rétablissement;CoFoR;Entraide et pair-aidance;lieu;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Projet de vie et rétablissement;;06 41 85 33 18;oui;oui;Implantation à préciser.;Kit DAC 13 Sud, 07/05/2026
UNAFAM 13;UNAFAM;Entraide et pair-aidance;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Réseau social et entourage;;06 43 84 67 22;oui;;Accueil, formations, groupes de parole pour les proches aidants.;Kit DAC 13 Sud, 07/05/2026
Association Astrée;Astrée;Entraide et pair-aidance;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Réseau social et entourage;;;oui;;Accompagnement de personnes isolées par des bénévoles.;Kit DAC 13 Sud, 07/05/2026
PROFAMILLE;Solidarité Réhabilitation;Entraide et pair-aidance;lieu;10;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Réseau social et entourage;7 rue Esquiros, 13010;04 91 22 83 53;;;Programme psychoéducatif pour les proches.;Kit DAC 13 Sud, 07/05/2026
A3 — Aide aux aidants;Association A3;Entraide et pair-aidance;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Réseau social et entourage;;04 91 70 76 53;oui;;;Kit DAC 13 Sud, 07/05/2026
DEP'AGIR;DEP'AGIR;Entraide et pair-aidance;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Réseau social et entourage;;06 81 60 60 13;oui;;;Kit DAC 13 Sud, 07/05/2026
Réseau Santé Mentale et Habitat;GCSMS CMSMH;Coordination et appui;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"2;3";"Logement et vie quotidienne;Réseau social et entourage";;;;oui;Réunions plénières.;Atelier de cartographie SIIS, 4 parcours
DAC 13 Sud;DAC 13 Sud;Coordination et appui;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;"Réseau social et entourage;Suivi clinique et médication";;04 65 40 50 00;;;Accompagnement à domicile et à distance des situations complexes.;Kit DAC 13 Sud, 07/05/2026
ARCA Sud;ARCA Sud;Coordination et appui;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Abus de substances;;04 88 92 68 88;;;;Kit DAC 13 Sud, 07/05/2026
ASMA;ASMA;Coordination et appui;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Gestion de crise et sécurité;;04 91 76 70 40;;;Prévention du risque suicidaire chez les adolescents.;Kit DAC 13 Sud, 07/05/2026
Communauté 360;Unapei Alpes Provence;Coordination et appui;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";"Gestion budgétaire et démarches;Activités et insertion";;0800 360 360;;;;Kit DAC 13 Sud, 07/05/2026
CPTS 2/3 Marseille;CPTS;Coordination et appui;reseau;;"2;3";"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS Activ Santé;CPTS;Coordination et appui;reseau;;"4;5";"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS du Plateau;CPTS;Coordination et appui;reseau;;6;"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS Marseille 7e;CPTS;Coordination et appui;reseau;;7;"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS Littoral Sud;CPTS;Coordination et appui;reseau;;"8;9";"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS Vitale Santé;CPTS;Coordination et appui;reseau;;10;"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS Itinéraire Santé;CPTS;Coordination et appui;reseau;;"11;12;13";"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
CPTS Actes Santé;CPTS;Coordination et appui;reseau;;"14;15;16";"1;2";Suivi clinique et médication;;;;;;Kit DAC 13 Sud, 07/05/2026
Working First 13;Working First;Social et inclusion;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Activités et insertion;;;oui;oui;Inclusion professionnelle des personnes vivant avec des troubles psychiques.;Kit DAC 13 Sud, 07/05/2026
Plateforme Emploi Accompagné 13;Unapei;Social et inclusion;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Activités et insertion;;;oui;;;Kit DAC 13 Sud, 07/05/2026
ESAT Phocéen;ESAT;Social et inclusion;lieu;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Activités et insertion;;;oui;;Spécifique handicap psychique. Implantation à préciser.;Kit DAC 13 Sud, 07/05/2026
ESAT La Manade;ESAT;Social et inclusion;lieu;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Activités et insertion;;;oui;;Spécifique handicap psychique. Implantation à préciser.;Kit DAC 13 Sud, 07/05/2026
Maison Sport Santé Marseille en Forme;Ville de Marseille;Social et inclusion;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;Activités et insertion;;;oui;oui;;Atelier de cartographie SIIS, 4 parcours
Handidents;Handidents;Sanitaire;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Suivi clinique et médication;;;oui;oui;Centre dentaire adapté, interventions en intra.;Atelier de cartographie SIIS, 4 parcours
IML Santé Mentale Coc'Home;Groupe SOS;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"2;3";Logement et vie quotidienne;;;oui;;Intermédiation locative spécialisée troubles psychiques. Adresse non documentée dans les sources disponibles.;Atelier de cartographie SIIS, 4 parcours
Habitat Alternatif Social (HAS);HAS;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Logement et vie quotidienne;;;oui;;Logement accompagné, médiation locative, habitat inclusif. Sites non documentés.;SIIS Cartographie de l'offre, 11/05/2026
Familles Gouvernantes UDAF;UDAF 13;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Logement et vie quotidienne;;;oui;;16 habitats inclusifs. Adresses non documentées.;Kit DAC 13 Sud, 07/05/2026
Habitats inclusifs SAJ;Association SAJ;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Logement et vie quotidienne;;;oui;;10 maisons partagées. Adresses non documentées.;Kit DAC 13 Sud, 07/05/2026
ACT 13 — appartements de coordination thérapeutique;ACT 13;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;"Logement et vie quotidienne;Suivi clinique et médication";;;oui;;Adresses non documentées.;Kit DAC 13 Sud, 07/05/2026
Un Chez-Soi d'Abord;GCSMS CMSMH;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";3;"Logement et vie quotidienne;Projet de vie et rétablissement";;;oui;;Adresses non documentées.;SIIS Cartographie de l'offre, 11/05/2026
Appartements thérapeutiques et AFT;CH Valvert / CH Édouard Toulouse;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";3;"Logement et vie quotidienne;Suivi clinique et médication";;;oui;;Orientation par les équipes de secteur. Adresses non documentées.;SIIS Cartographie de l'offre, 11/05/2026
Pensions de famille et résidences accueil;Opérateurs multiples;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;"Logement et vie quotidienne;Réseau social et entourage";;;oui;;Orientation SIAO. Recensement à produire.;SIIS Cartographie de l'offre, 11/05/2026
SAMSAH;Opérateurs multiples;Médico-social;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;"Logement et vie quotidienne;Gestion budgétaire et démarches;Suivi clinique et médication";;;oui;;Sur notification MDPH. Le kit DAC renvoie vers un annuaire externe, aucune liste territoriale disponible.;Kit DAC 13 Sud, 07/05/2026
SAVS spécialisés handicap psychique;Espoir Provence et autres;Médico-social;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;"Logement et vie quotidienne;Gestion budgétaire et démarches;Réseau social et entourage";;;oui;;Sur notification MDPH. Recensement à produire.;SIIS Cartographie de l'offre, 11/05/2026
CHRS et hébergement de transition;Opérateurs multiples;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"2;3";Logement et vie quotidienne;;;oui;;CocoVelten, Résidence Marabou, Chez Simone cités dans les parcours. Recensement à produire.;Atelier de cartographie SIIS, 4 parcours
AVDL Santé Mentale;Opérateurs multiples;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Logement et vie quotidienne;;;oui;;Accompagnement vers et dans le logement. Recensement à produire.;Atelier de cartographie SIIS, 4 parcours
CSAPA;Opérateurs multiples;Médico-social;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Abus de substances;;;oui;;Recensement à produire.;SIIS Cartographie de l'offre, 11/05/2026
CAARUD;Opérateurs multiples;Médico-social;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";2;Abus de substances;;;oui;;Réduction des risques. Recensement à produire.;SIIS Cartographie de l'offre, 11/05/2026
Nouvelle Aube;Association Nouvelle Aube;Médico-social;mobile;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";3;"Abus de substances;Gestion de crise et sécurité";;;oui;;Aller-vers, maraudes.;Atelier de cartographie SIIS, 4 parcours
ASUD — bus itinérant;ASUD;Médico-social;mobile;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"2;3";Abus de substances;;;oui;;;Atelier de cartographie SIIS, 4 parcours
MDPH 13;Département 13;Social et inclusion;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"1;2";Gestion budgétaire et démarches;;;oui;;;SIIS Cartographie de l'offre, 11/05/2026
CCAS et centres sociaux de quartier;Ville de Marseille;Social et inclusion;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";1;"Gestion budgétaire et démarches;Réseau social et entourage";;;oui;;Soutien à la gestion budgétaire. Implantations à recenser.;Atelier de cartographie SIIS, 4 parcours
Mesures de protection — tutelle, curatelle, MASP;Opérateurs multiples;Social et inclusion;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"2;3";Gestion budgétaire et démarches;;;oui;;Irritant signalé : manque de tuteurs et curateurs de qualité et accessibles.;Atelier de cartographie SIIS, 4 parcours
SIAO / 115;SIAO 13;Logement et hébergement;reseau;;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16";"2;3;4";Logement et vie quotidienne;;;;;Irritant signalé : pas de priorisation ni de fléchage pour les publics précarité et psychiatrie.;Atelier de cartographie SIIS, 4 parcours
